location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Raj Nagar Extension,900,1350000,INR,1,1,0,"900 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. This is a corner plot. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 20.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,1350,5320000,INR,1,1,0,"This plot is available for sale and is located in the heart of Govindpuram. It has a salable area of 1350 sqft and is available at a price of Rs. 3,940 per sqft. It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shastri Nagar,2745,16500000,INR,1,0,0,"This plot is situated in Shastri Nagar. It has an area of 2745 sqft. The property is available at a price of Rs. 1.65 cr . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,1,0,0,0,0,0,,,0,0,,0,0,7.9,,,,,,,,,,,,,
Govindpuram,945,4350000,INR,1,1,0,"It has an area of 945 sqft. The property is available at a price of Rs. 43.50 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,1197,5650000,INR,1,1,0,"This plot is situated in Aditya Builders Pune World City, Dasna. It has an area of 1197 sqft. The property is available at a price of Rs. 56.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Lal Kuan,1350,2250000,INR,1,1,0,"A plot is available at a prime location in Lal Kuan. It has an area of 1350 sqft. The property is available at a price of Rs. 22.50 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Raj Nagar Extension,900,2100000,INR,1,1,0,"900 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 20.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 28.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,2368,36000000,INR,1,0,0,"2368 Square feet Plot for sale in Niti Khand I, Ghaziabad. This land has a dimension of 75.0 mt length 32.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 36.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are JKG International School, Apollo Clinic, and Gulati Punjabi Swad",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,454,688500,INR,1,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has a salable area of 454 sqft and is available at a price of Rs. 1,516 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Raj Nagar Extension,1539,3400000,INR,0,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has an area of 1539 sqft. The property is available at a price of Rs. 34.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,405,810000,INR,1,1,0,"405 Square feet Plot for sale in Lal Kuan, Ghaziabad. This land has a dimension of 27.0 mt length 15.0 mt width. Price. The width of the facing road is 22.0 mt. The most popular landmarks near this plot are The Achiever's Academy, Training School Northern Railway, and Abhishek KASHYAP",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Vasundhara,538,6000000,INR,1,0,0,"A plot is available for sale in Vasundhara, Ghaziabad. It has an area of 538 sqft and is priced at Rs. 60.00 lac . It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,0,0,1,0,0,0,1,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,855,2600000,INR,1,0,0,"This plot is situated in Govindpuram. It has an area of 855 sqft and is priced at Rs. 26.00 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,northwest,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
