location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Ramprastha,657,6500000,INR,,0,0,"This plot is situated in Ramprastha. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,1,0,,,,,,,,,,1.0,,,,
Surya Nagar,1278,16000000,INR,,0,1,"It has an area of 1278 sqft. The property is available at a price of Rs. 1.60 cr (negotiable). Its entry is northeast facing. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,1,0,,,,,,,,,,1.0,,,,
Govindpuram,900,2500000,INR,1,1,0,"A plot is available at a prime location in Govindpuram. It has an area of 900 sqft. The property is available at a price of Rs. 25.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900,2300000,INR,1,1,0,"900 Square feet Plot for sale in Govindpuram, Ghaziabad. This land has a dimension of 20.0 mt length 45.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 25.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Pizza Infinity, Uday South indian Dosa, and RPS Public School",1,east,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
DLF Ankur Vihar,2250,15000001,INR,1,0,0,"A plot is available at a prime location in DLF Ankur Vihar. It has an area of 2250 sqft and is priced at Rs. 1.50 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar,1620,75000000,INR,1,0,0,"A plot property is available for sale in Raj Nagar, Ghaziabad. It has a salable area of 1620 sqft and is available at a price of Rs. 46,296 per sqft. Its entry is north facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,north,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900,4275000,INR,1,0,0,"A plot is available at a prime location in Govindpuram. It has a salable area of 900 sqft and is available at a price of Rs. 4,750 per sqft. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,3474,13200000,INR,1,0,0,"A plot property is available for sale in Govindpuram, Ghaziabad. It has a salable area of 3474 sqft and is available at a price of Rs. 3,799 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,west,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Rajendra Nagar,1900,18500000,INR,1,0,0,"A plot is available at a prime location in Rajendra Nagar. It has a salable area of 1900 sqft and is available at a price of Rs. 9,736 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shastri Nagar,2090,99985000,INR,1,0,0,"A plot is available for sale in Shastri Nagar, Ghaziabad. It has a salable area of 2097 sqft and is available at a price of Rs. 47,680 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,7.9,,,,,,,,,,,,,
Kavi Nagar,2040,16000000,INR,1,1,0,"This plot is situated in Kavi Nagar. It has a salable area of 2040 sqft and is available at a price of Rs. 7,843 per sqft. Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,972,5485000,INR,1,0,0,"This plot is situated in Govindpuram. It has a salable area of 972 sqft and is available at a price of Rs. 5,643 per sqft. Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Nehru Nagar,2052,15800000,INR,1,1,0,"A plot is available for sale in Nehru Nagar, Ghaziabad. It has an area of 2052 sqft and is priced at Rs. 1.58 cr . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,1,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,1.0,,,,
Raj Nagar,4500,56500000,INR,1,0,0,"This plot is available for sale and is located in the heart of Raj Nagar. It has an area of 4500 sqft and is priced at Rs. 5.65 cr . It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,north,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shastri Nagar,2700,16000000,INR,1,0,0,"This plot is available for sale and is located in the heart of Shastri Nagar. It has an area of 2700 sqft. The property is available at a price of Rs. 1.60 cr . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.9,,,,,,,,,,,,,
Dasna,900,1485000,INR,1,1,0,"A plot is available at a prime location in Dasna. It has a salable area of 900 sqft and is available at a price of Rs. 1,650 per sqft. Its entry is east facing. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.2,,,,,,,,,,,,,
Dasna Gate,900,900000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
SHAKTI KHAND 4,1302,17000000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Niti Khand 1,3767,40000000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
SHAKTI KHAND 4,969,9500000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Niti Khand 1,2368,25000000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,2691,23500000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
2 Avantika Main,2160,8400000,INR,,0,1,,1,northeast,0,0,1,0,0,0,0,0,,,0,0,1.0,1,0,,,,,1.0,,1.0,,,,,,1.0,
Indirapuram Shakti Khand 4,969,8500000,INR,,0,1,,1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,783,1300000,INR,,1,0,,1,south,0,0,0,1,0,0,0,0,,,0,0,,1,0,7.4,,123.0,,1.0,,1.0,1.0,,,,,1.0,
Govindpuram,201,8500000,INR,,0,1,,1,northeast,0,0,1,0,0,0,0,0,,,0,0,1.0,1,0,,,,,1.0,,1.0,1.0,,,,,1.0,
Vaishali Sector 4,1300,16000000,INR,1,0,1,"A plot is available at a prime location in Vaishali Sector 4. It has a salable area of 1300 sqft and is available at a price of Rs. 12,307 per sqft. It is southwest facing property. The property is available on freehold. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,southwest,0,30,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,819,1450000,INR,,1,0,,1,west,0,0,0,1,0,0,0,0,,,0,0,,1,0,7.4,,123.0,,1.0,,1.0,,,,,,1.0,
duhai,540,720000,INR,,1,0,"KRISHNA KUNJ BUILDCON PVT LTD.
Present's 
Rose N City Phase-5 
Near NH-58 Delhi Meerut Road 
??FULLY GATED SOCIETY
??RCC ROAD 
??SEWAGE 
??SECURITY SYSTEM
 ( CCTV CAMERA )
??SECURITY GUARD
??ELECTRICITY 
 ( WITH STREET LIGHT )
??24×7 WATER SUPPLY
??TEMPLE
??FRONT OF EASTERN PERIPHERAL EXPRESSWAY 
??NEAR RAPID METRO STATION",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Avantika Colony,1350,7500000,INR,,0,1,,1,north,0,0,1,0,0,0,0,0,,,0,0,1.0,0,0,,,,,1.0,,1.0,,,,,,1.0,
Raj Nagar,450,376000,INR,,1,0,"This plot is available for sale and is located in the heart of Raj Nagar. It has an area of 450 sqft. The property is available at a price of Rs. 3.76 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,1,0,0,0,0,,1.0,1,0,,1,1,,,,1.0,1.0,,1.0,,,1.0,,,,
NH 24 Highway,900,1500000,INR,,1,0,,1,east,0,0,0,1,0,0,0,0,,,0,0,,1,0,,,,,,,1.0,,,,,,1.0,
N T P C Dadri Road,270,375000,INR,,1,0,"This plot is situated in N T P C Dadri Road, Ghaziabad. It has a salable area of 270 sqft and is available at a price of Rs. 1,388 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Mohan Nagar,468,390000,INR,,1,0,"A plot is available for sale in Mohan Nagar, Ghaziabad. It has an area of 468 sqft. The property is available at a price of Rs. 3.90 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,1,0,0,0,0,,1.0,1,0,,1,1,,,,,1.0,,,,,1.0,,,,
Raj Nagar Extension,333,260000,INR,,1,0,"This plot is situated in Raj Nagar Extension. It has an area of 333 sqft. The property is available at a price of Rs. 2.60 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,0,1,0,0,0,0,,1.0,1,0,,1,0,,,,,1.0,,1.0,,,1.0,,,,
Raj Nagar Extension,594,462000,INR,,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has an area of 594 sqft and is priced at Rs. 4.62 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northeast,0,0,0,1,0,0,0,0,,,1,0,,1,1,,,,1.0,,,1.0,,,1.0,,,,
Raj Nagar Extension,405,320000,INR,,1,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 405 sqft. The property is available at a price of Rs. 3.20 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,1,0,0,1,0,,1.0,1,0,,1,0,,,,,1.0,,1.0,,,1.0,,,,
Raj Nagar Extension,450,350000,INR,,1,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 450 sqft and is priced at Rs. 3.50 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,1,0,0,0,0,,1.0,1,0,,1,1,,,,1.0,,,1.0,,,,,,,
Raj Nagar Extension,558,550000,INR,,1,0,"Pay 25% & Rs. get registry, Rest amount Pay in 12 months Easy Installments. Gated with 24hrs security, Just 7 kms. from East Delhi. Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity.
- Just Pay 25% Get Your Plot in Eco-Friendly area/62Sq.Yards Plots Near Raj Nagar Extension Ghaziabad",1,northeast,0,0,0,1,0,0,1,0,,,1,0,,1,0,,,,1.0,,,,,,1.0,,,,
Hindan Residential Area,558,500000,INR,,1,0,"This plot is situated in Hindan Residential Area, Ghaziabad. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,1,0,0,1,0,,,1,0,,1,1,,,,1.0,,,,,,1.0,,,,
Mohan Nagar,1620,1026000,INR,,1,0,"A plot is available for sale in Mohan Nagar, Ghaziabad. It has an area of 1620 sqft. The property is available at a price of Rs. 10.26 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,1,0,0,1,0,,,1,0,,1,1,,,,1.0,,,,,,1.0,,,,
Shakti Khand,1620,1027000,INR,,1,0,"This plot is situated in Gold Castle Hariyali Farms, Shakti Khand, Ghaziabad. It has an area of 1620 sqft and is priced at Rs. 10.27 lac . The amenities include sports facility, 24 x 7 security, car parking, swimming pool, 24/7 , staff quarter, jogging track, children's play area, club house and maintenance staff. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,1,1,0,1,0,,1.0,1,1,1.0,1,1,9.3,,2022.0,,,,,,,1.0,,1.0,,
Raj Nagar Extension,1620,1026000,INR,,1,0,"This plot is situated in Raj Nagar Extension, Ghaziabad. It has an area of 1620 sqft and is priced at Rs. 10.26 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,northeast,0,0,0,1,0,0,1,0,,,1,1,,1,1,,,,1.0,,,,,,1.0,,,,
Hindon Air Force Station,2097,1330000,INR,,1,0,"This plot is situated in Hindon Air Force Station. It has an area of 2097 sqft and is priced at Rs. 13.30 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,northeast,0,0,0,1,0,0,1,0,,,1,1,,1,1,,,,1.0,,,,,,1.0,,,,
Raj Nagar Extension,2556,1620000,INR,,1,0,"This plot is situated in Raj Nagar Extension, Ghaziabad. It has an area of 2556 sqft. The property is available at a price of Rs. 16.20 lac . It is facing northeast direction. The society is well connected by different modes of transportation. Please contact us for more details. ",1,northeast,0,0,0,1,0,0,1,0,,1.0,1,1,1.0,1,1,,,,1.0,,,,,,,,,,
Raj Nagar Extension,1944,1231000,INR,,1,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 1944 sqft and is priced at Rs. 12.31 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,0,0,1,0,0,1,0,,1.0,1,0,1.0,1,0,,,,1.0,,,,,,1.0,,,,
Raj Nagar Extension,1620,1030000,INR,,1,0,This plot is situated in Raj Nagar Extension. It has an area of 1620 sqft. The property is available at a price of Rs. 10.30 lac . Its entry is northwest facing. The site is in close proximity to various civic utilities. Kindly call us for details. ,1,northwest,0,0,0,1,0,0,1,0,,,1,0,,1,0,,,,,1.0,,1.0,,,1.0,,,,
NH9,459,765000,INR,,1,0,,1,west,0,0,0,1,0,0,0,0,,,0,0,,1,0,,,,,,,,,,,,,,
Lal Kuan,450,750000,INR,,1,0,,1,east,0,0,0,1,0,0,0,0,,,0,0,,1,0,7.4,,,,,,,,,,,,,
Hindon Air Force Station,180,1027000,INR,,1,0,"Gated with 24hrs security, Just 10 km from Ghaziabad . Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity...",1,northeast,0,0,0,0,0,0,1,1,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Raj Nagar Extension Road,558,550000,INR,,1,0,"Pay 10% & Rs. get registry, Rest amount in 12 month . Gated with 24hrs security, Just 10 km from Ghaziabad . Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity",1,northeast,0,0,0,0,0,0,1,0,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Lal Kuan,540,900000,INR,,1,0,,1,east,0,0,0,1,0,0,0,0,,,0,0,,1,0,7.4,,123.0,,,,,,,,,,,
Niti Khand 1,1206,10600000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,450,375000,INR,,1,0,"This plot is available for sale and is located in the heart of Raj Nagar Extension. It has an area of 450 sqft and is priced at Rs. 3.75 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,northeast,0,0,0,1,0,0,0,0,,,1,0,,1,1,,,,,1.0,,1.0,,,1.0,,,,
Tilla Modh,1620,1100000,INR,,1,0,"This plot is available for sale and is located in the heart of Tilla Modh. It has an area of 1620 sqft. The property is available at a price of Rs. 11.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,northeast,0,0,0,1,1,0,1,0,,,1,0,,1,1,,,,1.0,1.0,,1.0,,,1.0,,,,
Rajendra Nagar,558,550000,INR,,1,0,"Pay 10% & Rs. get registry, Rest amount in 12 month . Gated with 24hrs security, Just 10 km from Ghaziabad . Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity...",1,northeast,0,0,0,0,0,0,0,0,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Masuri,9000,13000000,INR,,1,0,"A plot is available at a prime location in Vardah Builders Vardah Enclave. It has an area of 9000 sqft. The property is available at a price of Rs. 1.30 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,1,0,0,0,0,,,1,0,,1,0,6.3,7.6,123.0,,,,,,,1.0,,,,
Masuri,900,1400000,INR,1,1,0,"It is a road facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details.",1,,0,5,0,1,0,0,0,0,,,1,0,,1,0,6.3,7.6,123.0,,,,,,,1.0,,,,
NH34,711,1200000,INR,,1,0,,1,west,0,0,0,1,0,0,0,0,,,0,0,,1,0,,,,,1.0,,1.0,1.0,,,,,1.0,
Raj Nagar Extension,558,550000,INR,,1,0,"Pay 10% & Rs. get registry, Rest amount in 12 month . Gated with 24hrs security, Just 10 km from Ghaziabad . Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity...",1,northeast,0,0,0,0,0,0,1,0,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Dhoom Manikpur,450,475000,INR,,1,1,,1,north,0,0,0,1,0,0,0,0,,,1,0,,1,1,,,,,1.0,,,,,,,,,
Dhoom Manikpur,900,950000,INR,,1,1,,1,northeast,0,0,0,1,0,0,0,0,,1.0,1,0,1.0,1,1,,,,,1.0,,1.0,1.0,,1.0,,,1.0,
Dhoom Manikpur,450,475000,INR,,1,1,,1,north,0,0,0,1,0,0,0,0,,,1,0,,1,1,,,,,1.0,,,,,,,,,
Dhoom Manikpur,1800,1900000,INR,,1,1,,1,northwest,0,0,0,1,0,0,0,0,,,1,0,,1,1,,,,,1.0,,,,,,,,,
Lal Kuan,810,855000,INR,,1,1,,1,west,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,540,570000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,450,475000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,1350,1425000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,1170,1235000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,900,950000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,720,760000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,450,475000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,900,950000,INR,,1,0,,1,south,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,900,950000,INR,,1,1,,1,northeast,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,450,475000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,540,570000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,1800,1900000,INR,,1,1,,1,southwest,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,1350,1425000,INR,,1,1,,1,northwest,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,900,950000,INR,,1,1,,1,northwest,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,450,475000,INR,,1,1,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,450,475000,INR,,1,0,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,630,665000,INR,,1,1,,1,northwest,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,540,570000,INR,,1,1,,1,east,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,1350,1425000,INR,,1,1,,1,northeast,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,900,950000,INR,,1,1,,1,northwest,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,450,475000,INR,,1,0,,1,north,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,1.0,,,,
Lal Kuan,1350,1425000,INR,,1,1,,1,south,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,,,,,
Lal Kuan,990,1045000,INR,,1,0,,1,northeast,0,0,0,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,1.0,,,,,,
Raj Nagar Extension,558,550000,INR,,1,0,"Pay 10% & Rs. get registry, Rest amount in 12 month . Gated with 24hrs security, Just 10 km from Ghaziabad . Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity...",1,northeast,0,0,0,0,0,0,1,0,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Raj Nagar Extension,558,550000,INR,,1,0,"Pay 10% & Rs. get registry, Rest amount in 12 month . Gated with 24hrs security, Just 10 km from Ghaziabad . Adjacent to 3 major highways- Northern expressway, New Ghaziabad by pass, Eastern peripheral exp way with BCCI cricket stadium and high speed rail connectivity...",1,northeast,0,0,0,0,0,0,1,1,,1.0,0,0,1.0,1,1,,,,1.0,,,1.0,,,,,,,
2 Avantika Main,1548,6020000,INR,,0,1,,1,west,0,0,1,0,0,0,0,0,,,0,0,1.0,1,0,,,,,1.0,,1.0,,,,,,1.0,
Masuri,900,1400000,INR,,1,0,"This plot is situated in Vardah Builders Vardah Enclave, Masuri. It has an area of 900 sqft. The property is available at a price of Rs. 14.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,1,0,0,0,0,,,1,0,,1,0,6.3,7.6,123.0,,,,,,,1.0,,,,
Chipiyana Buzurg,900,4000000,INR,,0,0,"This property is located nearby to Shaberi Market, Gaur Chowk is 2 KM away. NH-24 is 5 minutes drive, All amenities are available in vicinities. East facing plot in a populated area",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Girdharpur village,540,900000,INR,1,0,1,Near to New Modern Railway City and adjoining to Girdharpur Sunarsi. Wave city will connect the his road with Ghaziabad and Bulandshahar road in near future. Good connectivity to greater noida through Bisrakh Maur.,1,east,0,10,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
sanjay nagar,1098,2444000,INR,,0,1,,1,northeast,0,0,1,0,0,0,0,0,,,0,0,1.0,1,0,,,,,1.0,,1.0,,,,,,1.0,
Rajendra Nagar,2700,19500000,INR,,0,0,,1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
NH 24 Highway,900,1250000,INR,,1,1,"Plot for sale nh 24 Jindal nagar ghaziabad 
Plot size 900sqft 
Price 12.5lac
Immediately position
80% loan or easy emi available 
30 foot road
Front site 10000 gaj me park
All facilities here",1,east,0,0,0,1,0,0,0,0,1.0,,1,0,,1,0,,,,,1.0,,1.0,,,,,,1.0,
Raj Nagar Extension,558,500000,INR,,1,0,"This plot is situated in Raj Nagar Extension, Ghaziabad. It has an area of 558 sqft and is priced at Rs. 5.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
